Component,Ag,Al,B,Ba,Bi,C,Ca,Fe,Hf,Ho,K,Li,Mn,Na,Nb,O,Pr,Sb,Sc,Sr,Ta,Ti,Zn,Zr,Avg_AtomicMass,Avg_AtomicRadius,Avg_Electronegativity,Avg_Valence,d33 (pC/N)
0.96(K0.5Na0.5)0.95Li0.05Nb0.91Sb0.09O3-0.04BaZrO3,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999999999996,0.048,0.0,0.45599999999999996,0.8736,3.0,0.0,0.08639999999999999,0.0,0.0,0.0,0.0,0.0,0.04,35.49488,106.10911999999999,2.565744,4.8,159.0
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3-0.06LiSbO3,0.0,0.0,0.0,0.05639999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3196,0.06,0.0,0.564,0.8835999999999999,3.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05639999999999999,35.23404320000001,105.10472000000001,2.565472,4.800000000000001,344.0
0.958K0.5Na0.5Nb0.975Sb0.025O3–0.035Bi0.5Na0.5ZrO3–0.007BiFeO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.0,0.0,0.479,0.9340499999999999,2.8739999999999997,0.0,0.02395,0.0,0.0,0.0,0.0,0.0,0.0,34.535250000000005,106.47,2.56125,4.8,511.0
0.97K0.5Na0.5Nb0.96Sb0.04O3-0.01SrZrO3-0.03Bi0.5Na0.5HfO3,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.03,0.0,0.485,0.0,0.0,0.5,0.9311999999999999,3.03,0.0,0.0388,0.0,0.01,0.0,0.0,0.0,0.01,35.73433267326733,106.36479207920794,2.5638534653465346,4.805940594059406,470.0
0.96(K0.48Na0.52)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3 ,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.4377599999999999,0.048,0.0,0.47424,0.8928,3.0,0.0,0.06720000000000001,0.0,0.0,0.0,0.0,0.0,0.04,35.32532672000001,105.98259200000003,2.5644172800000002,4.800000000000001,408.0
0.96(K0.48Na0.52)0.95Li0.05Nb0.94Sb0.06O3-0.04Ba0.94Ca0.06ZrO3 ,0.0,0.0,0.0,0.0376,0.0,0.0,0.0024,0.0,0.0,0.0,0.4377599999999999,0.048,0.0,0.47424,0.9023999999999999,3.0,0.0,0.0576,0.0,0.0,0.0,0.0,0.0,0.04,35.22325471999999,105.98211199999999,2.5636060800000005,4.8,347.0
0.92(K0.445Na0.50Li0.055)NbO3–0.08BaZrO3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40940000000000004,0.0506,0.0,0.46,0.92,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.03724,105.675,2.56076,4.8,317.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04(Bi0.5Na0.42Li0.08)0.9Sr0.1ZrO3,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.4608,0.00288,0.0,0.51432,0.9119999999999999,3.0,0.0,0.048,0.0,0.004,0.0,0.0,0.0,0.04,35.2401608,106.12857600000002,2.5659912000000005,4.807200000000001,416.0
0.98(Na0.5K0.5)NbO3-0.02BiScO3,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.49,0.98,3.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,34.91094,106.362,2.56262,4.808,210.0
0.992(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.008BiScO3,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,60.388,99.6,2.74,5.2,305.0
0.985(K0.48Na0.52)(Nb0.98Sb0.02)O3-0.015BiScO3–MnCO3,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.4728,0.0,0.0,0.5122,0.9652999999999999,3.0,0.0,0.0197,0.015,0.0,0.0,0.0,0.0,0.0,34.831150599999994,106.21132,2.5639214000000004,4.806,265.0
0.995(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.005BiScO3,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,60.388,99.60000000000001,2.74,5.2,280.0
0.99(Na0.485K0.485Li0.03)NbO3-0.01BiScO3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.48014999999999997,0.029699999999999997,0.0,0.48014999999999997,0.99,2.9999999999999996,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,34.50778630000001,106.10727000000001,2.5614337000000003,4.804,225.0
(K0.4675Na0.4675Li0.065)NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.065,0.0,0.4675,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.077635,105.7915,2.560365,4.8,250.0
0.92(Na0.5K0.5)NbO3–0.06BaZrO3–0.02(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,0.92,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6525,114.41666666666667,2.3825,4.5,321.0
(Na0.5K0.5)0.975Li0.025Nb0.76Sb0.06Ta0.18O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4875,0.025,0.0,0.4875,0.76,3.0,0.0,0.06,0.0,0.0,0.18,0.0,0.0,0.0,37.786115,106.1555,2.561325,4.800000000000001,352.0
0.92(Na0.5K0.5)NbO3–0.02(Bi0.5Li0.5)TiO3–0.06BaZrO3 ,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,0.92,2.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6525,114.41666666666667,2.3825,4.5,348.0
(K0.5Na0.5)NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.559,4.8,80.0
0.94(K0.5Na0.5)NbO3–0.06LiNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.94,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391000000000005,106.50000000000001,2.5590000000000006,4.8,235.0
[(K0.5Na0.5)0.97Bi0.01]NbO3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.485,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.761736947791164,105.99698795180723,2.5680622489959837,4.823293172690763,164.0
0.98(K0.5Na0.5)NbO3–0.02BiScO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.49,0.98,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.5589999999999997,4.800000000000001,210.0
0.985(K0.5Na0.5)NbO3–0.0175BiScO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4925,0.0,0.0,0.4925,0.985,2.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.50000000000001,2.559,4.800000000000001,253.0
(K0.48Na0.52)0.95Li0.05Sb0.01Nb0.99O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.99,3.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,34.58948285714286,105.74019047619049,2.562136190476191,4.8047619047619055,87.0
(K0.48Na0.52)0.95Li0.05Sb0.03Nb0.97O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.97,3.15,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,34.69938761904762,105.71733333333334,2.5638504761904763,4.804761904761905,163.0
(K0.48Na0.52)0.95Li0.05Sb0.05Nb0.95O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.95,3.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,34.809292380952385,105.6944761904762,2.565564761904762,4.8047619047619055,217.0
(K0.48Na0.52)0.95Li0.05Sb0.06Nb0.94O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.94,3.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,34.864244761904764,105.68304761904761,2.566421904761905,4.8047619047619055,267.0
(K0.48Na0.52)0.95Li0.05Sb0.07Nb0.93O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.93,3.15,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.05,34.91919714285714,105.67161904761903,2.567279047619048,4.804761904761905,225.0
(K0.48Na0.52)0.95Li0.05Sb0.10Nb0.90O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,0.0,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.45599999999999996,0.05,0.0,0.5065,0.9,3.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,35.084054285714295,105.63733333333334,2.5698504761904766,4.8047619047619055,180.0
K0.47Na0.47Li0.06NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.06,0.0,0.47,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.10173999999999,105.846,2.5602600000000004,4.8,235.0
(K0.5Na0.5)0.935Li0.065NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.065,0.0,0.4675,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.077635,105.7915,2.560365,4.8,188.0
(K0.5Na0.5)0.94Li0.06NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.06,0.0,0.47,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.10173999999999,105.846,2.5602600000000004,4.8,235.0
0.94K0.5Na0.5NbO3−0.06LiNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.94,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391000000000005,106.50000000000001,2.5590000000000006,4.8,215.0
0.948(K0.5Na0.5)NbO3− 0.052LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.0,0.0,0.474,0.948,2.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.49999999999999,2.5589999999999997,4.800000000000001,265.0
0.95(K0.48Na0.52)NbO3−0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45599999999999996,0.0,0.0,0.494,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32655999999999,106.336,2.5594399999999995,4.8,262.0
0.94(K0.5Na0.5)NbO3−0.06LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.94,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391000000000005,106.50000000000001,2.5590000000000006,4.8,212.0
0.95K0.49Na0.51NbO3−0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46549999999999997,0.0,0.0,0.4845,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35878,106.418,2.55922,4.8,256.0
0.95(K0.40Na0.60)NbO3−0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.57,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.068799999999996,105.68,2.5611999999999995,4.8,280.0
0.95(K0.42Na0.58)NbO3−0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39899999999999997,0.0,0.0,0.5509999999999999,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.133239999999994,105.84399999999998,2.5607599999999997,4.8,270.0
(Na0.5K0.5)0.952(LiSb)0.048Nb0.952O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.048,0.0,0.476,0.952,3.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,34.436552,105.9192,2.564328,4.799999999999999,265.0
(Na0.5K0.5)0.950(LiSb)0.050Nb0.950O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.05,0.0,0.475,0.95,3.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,34.43845,105.89499999999998,2.5645499999999997,4.8,283.0
(Na0.5K0.5)0.948(LiSb)0.052Nb0.948O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.052,0.0,0.474,0.948,3.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,34.440348,105.87079999999999,2.564772,4.800000000000001,286.0
(Na0.5K0.5)0.946(LiSb)0.054Nb0.946O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.054,0.0,0.473,0.946,3.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,34.442246,105.8466,2.564994,4.8,269.0
(Na0.5K0.5)0.944(LiSb)0.056Nb0.944O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.056,0.0,0.472,0.944,3.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,34.444143999999994,105.82239999999999,2.5652160000000004,4.8,272.0
0.94(K0.5Na0.5)NbO3+0.06LiNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.06,0.0,0.47,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.10173999999999,105.846,2.5602600000000004,4.8,235.0
0.95(K0.5Na0.5)NbO3+0.05LiTaO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.05,0.0,0.475,0.95,2.9999999999999996,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,35.030350000000006,105.955,2.55905,4.8,200.0
(K0.5Na0.5)0.935Li0.065NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4675,0.065,0.0,0.4675,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.077635,105.7915,2.560365,4.8,250.0
(K0.5Na0.5)0.96Li0.04Nb0.9Ta0.1O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.04,0.0,0.48,0.9,3.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,35.95896,106.06400000000001,2.55784,4.8,160.0
0.95K0.5Na0.5NbO3−0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.475,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.5589999999999997,4.8,215.0
(Na0.474K0.474Li0.052)(Nb0.948Sb0.052)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.052,0.0,0.474,0.948,3.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,34.440348,105.87079999999999,2.564772,4.800000000000001,242.0
(Na0.5K0.5)0.945Li0.055Nb0.96Sb0.04O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725,0.055,0.0,0.4725,0.96,3.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,34.356645,105.8525,2.563755,4.8,240.0
0.93(K0.5Na0.5)NbO3−0.07LiTaO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.465,0.93,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391000000000005,106.5,2.5589999999999997,4.8,200.0
0.90(Na0.5K0.5)NbO3–0.07BaZrO3–0.03(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,263.0
[(K0.5Na0.5)0.97Li0.03](Nb0.8Ta0.2)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.03,0.0,0.485,0.8,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,37.767970000000005,106.173,2.55563,4.8,234.0
0.90(Na0.5K0.5)NbO3–0.08BaZrO3–0.02(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,230.0
[(Na0.535K0.480)0.942Li0.058](Nb0.94Ta0.06)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45215999999999995,0.058,0.0,0.50397,0.94,3.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,35.07301292547261,105.93956279553979,2.554840680237649,4.789291462327462,232.0
(K0.5Na0.5)0.96Li0.04(Nb0.775Ta0.225)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.04,0.0,0.48,0.775,3.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,38.15996,106.06400000000001,2.55534,4.8,208.0
0.90(Na0.5K0.5)NbO3–0.01BaZrO3–0.09(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,57.0
0.90(Na0.5K0.5)NbO3–0.02BaZrO3–0.08(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,92.0
0.90(Na0.5K0.5)NbO3–0.03BaZrO3–0.07(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,116.0
0.90(Na0.5K0.5)NbO3–0.04BaZrO3–0.06(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,136.0
0.90(Na0.5K0.5)NbO3–0.06BaZrO3–0.04(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,215.0
(Na0.52K0.4375)(Nb0.9075Sb0.05)O3−0.0425LiTaO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.52,0.9075,3.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,34.07220244150559,104.88860630722279,2.58735503560529,4.831129196337741,321.0
(K0.4425Na0.52Li0.0375)(Nb0.8925Sb0.07Ta0.0375)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4425,0.0375,0.0,0.52,0.8925,3.0,0.0,0.07,0.0,0.0,0.0375,0.0,0.0,0.0,35.14956,105.6895,2.5661899999999997,4.8,304.0
Li0.04(Na0.54K0.46)0.96Nb0.81Ta0.15Sb0.04O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416,0.04,0.0,0.5184,0.81,3.0,0.0,0.04,0.0,0.0,0.15,0.0,0.0,0.0,36.94643519999999,105.70111999999999,2.5612847999999997,4.799999999999999,293.0
0.90(Na0.5K0.5)NbO3–0.09BaZrO3–0.01(Bi0.5Li0.5)TiO3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.652499999999996,114.41666666666666,2.3825,4.500000000000001,83.0
0.96(K0.48Na0.52)(Nb0.95Ta0.05)O3−0.04LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4608,0.0,0.0,0.4992,0.9119999999999999,2.88,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,35.206959999999995,106.33599999999998,2.5584399999999996,4.8,250.0
0.97(K0.5Na0.5)NbO3−0.03(Bi0.5Na0.5)TiO3,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.97,0.97,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.98999999999999,117.24999999999999,2.3783333333333334,4.5,195.0
0.98(K0.5Na0.5)NbO3−0.02(Bi0.5K0.5)TiO3,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.49,0.98,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3325,120.66666666666664,2.3691666666666666,4.5,251.0
0.98(K0.5Na0.5)NbO3−0.02Li0.5Bi0.5TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.49,0.98,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.5589999999999997,4.800000000000001,172.0
0.95(Na0.5K0.5)NbO3−0.05SrTiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.475,0.95,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.5589999999999997,4.8,195.0
