Component,d33 (pC/N),Tc (Â°C)
KNbO3,66.4,435
Na0.55FK0.45NbO3,,415
0.965K0.45Na0.55Nb0.93Sb0.07O3-0.035Bi0.5Na0.5HfO3,408,247
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035Bi0.5Na0.5HfO3,418,244
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,416,253
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,380,
0.9575(K0.48Na0.52)(CuNb0.95Sb0.05)O3-0.0425Bi0.5Ag0.5ZrO3,490,220
0.97(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.03(Bi0.5Na0.5)(Zr0.8Ti0.2)O3,323,302
0.96(K0.5Na0.5)(Nb0.96Sb0.04)O3-0.02(Bi0.5Na0.5)(Zr0.8Ti0.2)O3-0.02CaZrO3,253,273
0.955(K0.5Na0.5)(Nb0.965Sb0.035)O3-0.045(Bi0.9Al0.1)Na0.5ZrO3,570,193
0.95(K0.45Na0.55)Nb1.01O3â€“0.05Bi0.5Na0.5HfO3,425,241
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035(Bi0.75Ho0.25)0.5Na0.5HfO3,,233
0.9575(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.0425[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,425,241
0.99(K0.48Na0.52)(Nb%0.96Sb0.04)O3â€“0.01[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,182,286
0.98(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.02[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,215,267
0.97(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.03[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,274,276
0.965(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.035[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,312,275
0.96(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.04[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,355,282
0.955(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.045[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,360,240
0.95(K0.48Na0.52)(Nb0.96Sb0.04)O3â€“0.05[Bi0.5(Na0.7Ag0.3)0.5]0.90 Zn0.10ZrO3,290,301
K0.5Na0.5NbO3,151,420
Li0.04(Na0.5K0.5)0.96NbO3,145,408
Li0.06(Na0.5K0.5)0.94NbO3,210,405
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.525Na0.5ZrO3,522,NaN
0.96(K0.5Na0.5)(Nb0.965Sb0.035)O3 - 0.04(Bi0.5Na0.5)HfO3,353,292
0.97(K0.48Na0.52)(Nb0.96Sb0.04)O3-0.03Ba0.2(Bi0.5Ag0.5)0.8ZrO3,406,248
0.954K0.48Na0.52NbO3â€“0.006BiFeO3â€“0.04Bi0.5Na0.5ZrO3,428,240
(K0.5Na0.5)0.97Ag0.03NbO3,Nan,375
0.95K0.45Na0.55NbO3-0.05Bi0.5Na0.5HfO3,385,275
0.958K0.40Na0.60NbO3-0.012BiScO3-0.03Bi0.5(Na0.6K0.3Li0.1)0.5HfO3,362,255
0.95(K0.6Na0.4)NbO3-0.05(Bi0.5Na0.5)ZrO3,382,308
0.99(K0.48Na0.52)(Nb0.97Sb0.03)O3 - 0.01(Bi0.5Zn0.25)ZrO3,308,281
K0.622Na0.378NbO3,161,369
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465,228
0.948(K0.5Na0.5)NbO3â€“0.052LiSbO3,265,458
0.96K0.48Na0.52NbO3-0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3-0.01B0.5Na0.5TiO3,285,271
0.88K0.5Na0.5NbO3-0.05CaZrO3-0.07LiNbO3,216,281
0.96K0.5Na0.5NbO3-0.04CaZrO3,154,373
0.95(K0.42Na0.58)NbO3-0.05LiSbO3,270,451
Na0.5K0.5NbO3,148,420
KNbO3,74,435
Li0.02K0.98NbO3,82,452
Li0.04K0.96NbO3,81,426
Li0.06K0.94NbO3,40,470
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465,228
0.94(K0.34Na0.6Ba0.06Nb0.96Zr0.06)O3â€“0.06LiSbO3,344,277
(K0.44Na0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O3,416,244
(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3,345,253
(K0.45Na0.55)0.98Li0.02(Nb0.77Ta0.18Sb0.05)O3,413,245
(K0.52Na0.40)(Nb0.83Sb0.09)O3â€“0.08LiTaO3,400,250
(Na0.52K0.48)(Nb0.91Sb0.01)O3,230,327
K0.334Na0.666NbO3,105,397
K0.455Na0.545NbO3,142,379
0.94(K0.40Na0.60)NbO3â€“0.06LiSbO3,280,461
(Na0.52K0.44Li0.04)Nb0.87Sb0.08Ta0.05O3,376,441
K0.538Na0.462NbO3,145,377
(K0.50Na0.50)0.97Bi0.01(Nb0.98Zr0.02)O3,161,369
K0.882Na0.118NbO3,110,395
0.92Na0.535K0.48NbO3â€“0.08LiNbO3,280,476
0.95(K0.48Na0.52)NbO3â€“0.05LiSbO3,270,465
[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3,298,413
Na0.5K0.5Nb0.995Mn0.005O3,161,369
0.94K0.5Na0.5NbO3â€“0.04LiSbO3,212,415
0.97K0.40Na0.60Nb0.965Sb0.035O3â€“0.03Bi0.5Li0.5ZrO3,400,250
0.955(K0.48Na0.52)(Nb0.95Ta0.05)O3â€“0.045Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,290,240
(K0.44Na0.52Li0.04)(Nb0.85Ta0.15)O3,291,432
(Li0.04Na0.48K0.48)(Nb0.80Ta0.20)O3,215,416
0.97(Na0.5K0.5)NbO3â€“0.03(Ba0.95Sr0.05)TiO3,136,382
0.96K0.5Na0.5NbO3â€“0.04CaZrO3,145,377
0.955K0.48Na0.52NbO3-0.005BiScO3-0.04Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,366,233
(K0.48Na0.52)(Nb0.93Sb0.07)O3,210,315
0.98(Na0.5K0.5)NbO3â€“0.02BiScO3,210,264
0.97(K0.5Na0.5)NbO3â€“0.03(Bi0.5Na0.5)TiO3,195,352
0.95(Na0.5K0.5)NbO3â€“0.05SrTiO3,195,352
0.95(Na0.5K0.5)NbO3â€“0.05CaTiO3,241,329
0.9825K0.5Na0.5NbO3â€“0.0175BiScO3,253,248
0.99(Na0.5K0.5)NbO3âGB€“0.01BiAlO3,220,277
0.99(Na0.5K0.5)NbO3â€“0.01BiScO3,165,367
0.95(0.995Na0.5K0.5NbO3â€“0.005BiFeO3)â€“0.05LiSbO3,257,279
0.992(0.95K0.5Na0.5NbO3â€“0.05LiSbO3)â€“0.008BiScO3,305,244
0.96(0.99K0.5Na0.5NbO3â€“0.01Bi0.5Na0.5TiO3)â€“0.04LiSbO3,250,308
0.95(K0.40Na0.60)NbO3â€“0.05LiSbO3,280,474
0.95(K0.45Na0.55)NbO3â€“0.04Bi0.5Na0.5ZrO3â€“0.01BaHfO3â€“0.002MnO2,385,243
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3,425,241
0.96(K0.5Na0.5)0.95Li0.05Nb0.96Sb0.04O3-0.04BaZrO3,223,245
0.96(K0.5Na0.5)0.95Li0.05Nb0.95Sb0.05O3-0.04BaZrO3,320,266
0.96(K0.5Na0.5)0.95Li0.05Nb0.94Sb0.06O3-0.04BaZrO3,370,308
0.96(K0.5Na0.5)0.95Li0.05Nb0.92Sb0.08O3-0.04BaZrO3,320,257
0.96(K0.5Na0.5)0.95Li0.05Nb0.91Sb0.09O3-0.04BaZrO3,159,370
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3-0.06LiSbO3,344,279
0.958K0.5Na0.5Nb0.975Sb0.025O3â€“0.035Bi0.5Na0.5ZrO3â€“0.007BiFeO3,511,213
0.97K0.5Na0.5Nb0.96Sb0.04O3-0.01SrZrO3-0.03Bi0.5Na0.5HfO3,470,226
0.96(K0.48Na0.52)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3,408,247
0.96(K0.48Na0.52)0.95Li0.05Nb0.94Sb0.06O3-0.04Ba0.94Ca0.06ZrO3,347,299
0.92(K0.445Na0.50Li0.055)NbO3â€“0.08BaZrO3,317,230
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04(Bi0.5Na0.42Li0.08)0.9Sr0.1ZrO3,416,244
0.964K0.4Na0.6Nb0.955Sb0.045O3â€“0.006BiFeO3â€“0.03Bi0.5Na0.5ZrO3,550,200
0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3-0.008BiScO3,325,267
0.98(Na0.5K0.5)NbO3-0.02BiScO3,210,246
0.992(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.008BiScO3,305,271
0.985(K0.48Na0.52)(Nb0.98Sb0.02)O3-0.015BiScO3â€“MnCO3,265,288
0.995(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.005BiScO3,280,269
0.99(Na0.485K0.485Li0.03)NbO3-0.01BiScO3,225,294
(K0.4675Na0.4675Li0.065)NbO3,250,440
0.92(Na0.5K0.5)NbO3â€“0.06BaZrO3â€“0.02(Bi0.5Li0.5)TiO3,321,293
(Na0.5K0.5)0.975Li0.025Nb0.76Sb0.06Ta0.18O3,352,400
0.92(Na0.5K0.5)NbO3â€“0.02(Bi0.5Li0.5)TiO3â€“0.06BaZrO3,348,242
(K0.5Na0.5)NbO3,80,410
0.94(K0.5Na0.5)NbO3â€“0.06LiNbO3,235,445
[(K0.5Na0.5)0.97Bi0.01]NbO3,164,368
0.98(K0.5Na0.5)NbO3â€“0.02BiScO3,210,245
0.985(K0.5Na0.5)NbO3â€“0.0175BiScO3,253,262
(K0.48Na0.52)0.95Li0.05Sb0.01Nb0.99O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,87,
(K0.48Na0.52)0.95Li0.05Sb0.03Nb0.97O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,163,368
(K0.48Na0.52)0.95Li0.05Sb0.05Nb0.95O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,217,284
(K0.48Na0.52)0.95Li0.05Sb0.06Nb0.94O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,267,273
(K0.48Na0.52)0.95Li0.05Sb0.07Nb0.93O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,225,269
(K0.48Na0.52)0.95Li0.05Sb0.08Nb0.92O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,220,296
(K0.48Na0.52)0.95Li0.05Sb0.10Nb0.90O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,180,360
K0.47Na0.47Li0.06NbO3,235,444
0.94K0.49Na0.51NbO3âˆ’0.06LiNbO3,246,476
(K0.5Na0.5)0.935Li0.065NbO3,188,410
(K0.5Na0.5)0.94Li0.06NbO3,235,427
0.94K0.5Na0.5NbO3âˆ’0.06LiNbO3,215,409
0.93K0.5Na0.5NbO3âˆ’0.07LiNbO3,240,423
0.948(K0.5Na0.5)NbO3âˆ’ 0.052LiSbO3,265,427
0.95(K0.48Na0.52)NbO3âˆ’0.05LiSbO3,262,466
0.94(K0.5Na0.5)NbO3âˆ’0.06LiSbO3,212,447
0.95K0.49Na0.51NbO3âˆ’0.05LiSbO3,256,460
0.95(K0.40Na0.60)NbO3âˆ’0.05LiSbO3,280,467
0.95(K0.42Na0.58)NbO3âˆ’0.05LiSbO3,270,403
(Na0.5K0.5)0.952(LiSb)0.048Nb0.952O3,265,456
(Na0.5K0.5)0.950(LiSb)0.050Nb0.950O3,283,410
(Na0.5K0.5)0.948(LiSb)0.052Nb0.948O3,286,435
(Na0.5K0.5)0.946(LiSb)0.054Nb0.946O3,269,472
(Na0.5K0.5)0.944(LiSb)0.056Nb0.944O3,272,417
K0.5Na0.5NbO3,97,420
(K0.44Na0.52)(Nb0.86Ta0.10)O3+0.04LiSbO3,416,244
0.94(K0.5Na0.5)NbO3+0.06LiNbO3,235,457
0.95(K0.5Na0.5)NbO3+0.05LiTaO3,200,476
(K0.5Na0.5)0.935Li0.065NbO3,250,434
(K0.5Na0.5)0.96Li0.04Nb0.9Ta0.1O3,160,419
0.95K0.5Na0.5NbO3âˆ’0.05LiSbO3,215,400
(Na0.474K0.474Li0.052)(Nb0.948Sb0.052)O3,242,463
(Na0.5K0.5)0.945Li0.055Nb0.96Sb0.04O3,240,461
0.93(K0.5Na0.5)NbO3âˆ’0.07LiTaO3,200,432
0.90(Na0.5K0.5)NbO3â€“0.07BaZrO3â€“0.03(Bi0.5Li0.5)TiO3,263,276
[(K0.5Na0.5)0.97Li0.03](Nb0.8Ta0.2)O3,234,402
(K0.55Na0.45)0.965Li0.035Nb0.80Ta0.20O3,262,474
0.90(Na0.5K0.5)NbO3â€“0.08BaZrO3â€“0.02(Bi0.5Li0.5)TiO3,230,244
[(Na0.535K0.480)0.942Li0.058](Nb0.94Ta0.06)O3,232,448
(K0.5Na0.5)0.96Li0.04(Nb0.775Ta0.225)O3,208,467
Li2Oâˆ’0.95(Na0.5K0.5)NbO3âˆ’0.05LiTaO3,250,413
0.90(Na0.5K0.5)NbO3â€“0.01BaZrO3â€“0.09(Bi0.5Li0.5)TiO3,57,421
0.90(Na0.5K0.5)NbO3â€“0.02BaZrO3â€“0.08(Bi0.5Li0.5)TiO3,92,404
0.90(Na0.5K0.5)NbO3â€“0.03BaZrO3â€“0.07(Bi0.5Li0.5)TiO3,116,392
0.90(Na0.5K0.5)NbO3â€“0.04BaZrO3â€“0.06(Bi0.5Li0.5)TiO3,136,382
0.90(Na0.5K0.5)NbO3â€“0.06BaZrO3â€“0.04(Bi0.5Li0.5)TiO3,215,261
(Na0.52K0.4375)(Nb0.9075Sb0.05)O3âˆ’0.0425LiTaO3,321,436
(K0.4425Na0.52Li0.0375)(Nb0.8925Sb0.07Ta0.0375)O3,304,415
Li0.04(Na0.54K0.46)0.96Nb0.81Ta0.15Sb0.04O3,293,419
0.90(Na0.5K0.5)NbO3â€“0.09BaZrO3â€“0.01(Bi0.5Li0.5)TiO3,83,408
0.96(K0.48Na0.52)(Nb0.95Ta0.05)O3âˆ’0.04LiSbO3,250,423
0.97(K0.5Na0.5)NbO3âˆ’0.03(Bi0.5Na0.5)TiO3,195,352
0.975(K0.5Na0.5)NbO3âˆ’0.025(Bi0.5Na0.5)TiO3,256,294
0.98(K0.5Na0.5)NbO3âˆ’0.02(Bi0.5K0.5)TiO3,251,230
0.98(K0.5Na0.5)NbO3âˆ’0.02Li0.5Bi0.5TiO3,172,364
0.94(Na0.5K0.5)NbO3âˆ’0.06BaTiO3,150,375
0.95(Na0.5K0.5)NbO3âˆ’0.05SrTiO3,195,352
0.96(Na0.5K0.5)NbO3âˆ’0.04(Bi0.5Na0.5)0.94Ba0.06TiO3,256,232
(K0.5Na0.5)NbO3âˆ’Ba(Zr0.05Ti0.95)O3âˆ’MnO2,234,289
K0.5Na0.5NbO3âˆ’CaTi0.9Zr0.1O3+MnO2,203,259
0.95(Na0.5K0.5)NbO3âˆ’0.05CaTiO3,241,329
0.97(Na0.5K0.5)NbO3âˆ’0.03(Ba0.95Sr0.05)TiO3,136,382
0.9825K0.5Na0.5NbO3âˆ’0.0175BiScO3,253,306
0.99(Na0.5K0.5)NbO3âˆ’0.01BiAlO3,202,286
0.996(0.95Na0.5K0.5NbO3âˆ’0.05LiSbO3)âˆ’0.004BiFeO3,260,309
0.95(0.995Na0.5K0.5NbO3âˆ’0.005BiFeO3)âˆ’0.05LiSbO3,257,239
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3âˆ’0.004BiFeO3,261,279
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3âˆ’0.005BiFeO3,238,237
0.995(0.95K0.5Na0.5NbO3âˆ’0.05LiSbO3)âˆ’0.005BiScO3,280,309
0.992(0.95K0.5Na0.5NbO3âˆ’0.05LiSbO3)âˆ’0.008BiScO3,305,303
0.99(Na0.485K0.485Li0.03)NbO3âˆ’0.01BiScO3,225,239
0.96(0.99K0.5Na0.5NbO3âˆ’0.01Bi0.5Na0.5TiO3)âˆ’0.04LiSbO3,250,308
(K0.42Na0.52Li0.04Ag0.02)(Nb0.91Ta0.05Sb0.04)O3,263,454
0.998(0.948K0.5Na0.5NbO3âˆ’0.052LiSbO3)âˆ’0.002BiAlO3,233,286
(K0.5Na0.5)0.92Li0.04Sr0.02Nb0.98Sb0.02O3,142,452
0.98[(K0.4725Na0.4725Li0.055)]0.98Ag0.02(Nb0.98Ta0.02)O3,237,437
(K0.5Na0.5)0.82Ag0.18NbO3,186,357
0.955K0.35Na0.65NbO3â€“0.02BaZrO3â€“0.025Bi0.5Na0.5ZrO3,345,292
(K0.48Na0.48Ca0.02)(Nb0.85Ta0.15O3),155,372
(Na0.52K0.48)(Nb0.91Sb0.09)O3,230,349
0.98(Na0.5K0.5)NbO3âˆ’0.02BiScO3,210,245
0.96K0.5Na0.5NbO3-0.04CaZrO3,154,373
(Na0.52K0.40)(Nb0.84Sb0.08)O3âˆ’0.055LiTaO3âˆ’0.025BaZrO3,365,295
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3â€“0.06LiSbO3,344,308
0.96K0.46Na0.54Nb0.95Sb0.05O3âˆ’0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465,228
[(Na0.535K0.480)0.966Li0.058](Nb0.90Ta0.10)O3,268,443
0.058LiNbO3âˆ’0.942(Na0.535K0.480)NbO3,314,414
0.96K0.48Na0.52NbO3âˆ’0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3âˆ’0.01B0.5Na0.5TiO3,285,305
0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3âˆ’0.008BiScO3,325,245
(Na0.535K0.485)0.926Li0.074(Nb0.942Ta0.058)O3,276,446
0.92(Na0.535K0.48)NbO3âˆ’0.08LiNbO3,280,459
0.95(K0.5Na0.5)NbO3â€“0.05(Bi0.5Na0.5)ZrO3â€“0.1ZnO,320,263
(Na0.50K0.47Li0.03)(Nb0.8Ta0.2)O3 + MnO2 + Li2CO3,310,455
(K0.5Na0.5)(Nb0.97Sb0.03)O3,208,341
(K0.463Na0.537)0.946Li0.054NbO3,254,431
(Na0.535K0.485)0.95Li0.05(Nb0.8Ta0.2)O3,243,402
Li0.02(Na0.55K0.45)0.98(Nb0.77Ta0.18Sb0.05)O3,256,417
0.92(K0.445Na0.50Li0.055)NbO3â€“0.08BaZrO3,317,305
0.955K0.48Na0.52NbO3â€“0.01B0.5Na0.5TiO3-0.035Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,310,290
0.98(K0.5Na0.5)NbO3â€“0.02(Bi0.5K0.5)TiO3,251,257
0.996(0.95Na0.5K0.5NbO3â€“0.05LiSbO3)â€“0.004BiFeO3,260,255
0.99(Na0.5K0.5)NbO3-0.01BiAlO3,202,250
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3â€“0.004BiFeO3,261,247
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3â€“0.005BiFeO3,238,306
0.98(Na0.5K0.5)NbO3-0.02BaTiO3,104,398
(K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3-0.025MnO2,176,410
0.96K0.48Na0.52NbO3â€“0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3â€“0.01B0.5Na0.5TiO3,285,260
0.994(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3 âˆ’ 0.006BiFeO3,246,253
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3â€“0.04CaZrO3,420,243
0.96(K0.48Na0.49Li0.03)NbO3-0.04Bi0.5Na0.5ZrO3,252,250
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.44Fe0.06Ag0.03Na0.47ZrO3,464,228
0.96K0.48Na0.52Nb0.95Sb0.05O3â€“0.04(Bi0.5Ag0.5)(Zr0.9Hf0.1)O3,510,213
Li0.05(Na0.515K0.485)0.95Nb0.8Ta0.2O3-BiFeO3,200,267
0.95(Na0.49K0.5)NbO2.995-0.05SrTiO3,220,340
0.76K0.5Na0.5NbO3â€“0.24AgNbO3,162,369
0.82K0.5Na0.5NbO3â€“0.18AgNbO3,186,357
Li0.02(Na0.53K0.48)0.98Nb0.8Ta0.2O3-0.05AgSbO3,265,437
0.97K0.48Na0.52Nb0.96Sb0.04O3-0.03Bi0.5Na0.5ZrO3,278,251
K0.5Na0.5Nb0.95Ta0.05O3,89,405
0.955(K0.42Na0.58)(Nb0.96Sb0.04)O3â€“0.045(Bi0.5K0.5)0.90Zn0.10ZrO3,416,244
0.92(Na0.5K0.5)NbO3-0.02(Bi0.5Li0.5)TiO3-0.06BaZrO3,350,259
0.96K0.48Na0.52NbO3-0.04Bi0.5(Na0.925Li0.075)0.5ZrO3,242,250
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3âˆ’0.04Bi0.5(Na0.82K0.18)0.5ZrO3,490,220
0.96(K0.48Na0.52)(Nb0.97Sb0.03)O3âˆ’0.04Bi0.5(Na0.82K0.18)0.5ZrO3,440,236
0.92(Na0.51K0.46Li0.03)NbO3â€“0.02Bi0.5K0.5TiO3â€“0.06BaZrO3,253,249
0.948(K0.5Na0.5)NbO3â€“0.052LiSbO3,265,450
0.94K0.49Na0.51NbO3-0.06LiNbO3,246,467
0.935(K0.4Na0.6)NbO3â€“0.02CaH&ZrO3â€“0.045Bi0.5Na0.5HfO3,320,297
K0.5Na0.5NbO3-0.003Pr,108.4,395
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035ï¼ˆBi0.75Pr0.25ï¼‰0.5Na0.5HfO3,480,223
0.9575(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.0425Bi0.5Ag0.5ZrO3,,220
0.958K0.5Na0.5Nb0.975Sb0.25O3â€“0.035Bi0.5Na0.5ZrO3â€“0.007BiFeO3,511,213
0.96(K0.48Na0.52) (Nb0.955Sb0.045)O3-0.04(Bi0.5Ag0.5)ZrO3,555,198
0.91(K0.48NaSc0.52)NbO3-0.04(Bi0.5Na0.5)ZrO3-0.05AgSbO3,500,216
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3âˆ’0.04(Bi0.5Na0.5)ZrO3,450,233
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3âˆ’0.04(Bi0.5Na0.5)0.95Ba0.05ZrO3,,
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3âˆ’0.04(Bi0.5Na0.5)0.90Ba0.1ZrO3,505,215
0.944K0.48Na0.52Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3-0.016AgSbO3-0.004Fe2O3,650,166
0.965(K0.48Na0.52)(Nb0.95Sb0.05)O3â€“0.035Bi0.5(Na0.82K0.18)0.5HfO3,525,208
0.95K0.6Na0.4Nb0.965Sb0.035O3-0.02BaZrO3-0.03Bi0.5K0.5HfO3,570,193
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3âˆ’0.04Bi0.5(Na0.82K0.18)0.5ZrO3,D,220
0.964K0.4Na0.6Nb0.955Sb0.045O3âˆ’0.006BiFeO3âˆ’0.03Bi0.5Na0.5ZrO3,550,200
0.97(K0.48Na0.52)(Nb0.96Sb0.04)$$O3-0.03(Bi0.5K0.5)0.7Ca0.3ZrO3,430,None